ca10000,s11,s33
10000,-0.00000125,-0.00000125
10001,-0.00000170,-0.00000236
10002,-0.00000199,-0.00000330
10003,-0.00000244,-0.00000441
10004,-0.00000268,-0.00000531
10005,-0.00000316,-0.00000644
10006,-0.00000367,-0.00000761
10007,-0.00000404,-0.00000864
10008,-0.00000443,-0.00000969
10009,-0.00000478,-0.00001070
10010,-0.00000516,-0.00001174
10011,-0.00000549,-0.00001273
10012,-0.00000597,-0.00001388
10013,-0.00000634,-0.00001492
10014,-0.00000668,-0.00001592
10015,-0.00000709,-0.00001700
10016,-0.00000747,-0.00001803
10017,-0.00000783,-0.00001907
10018,-0.00000821,-0.00002011
10019,-0.00000859,-0.00002116
10020,-0.00000896,-0.00002220
10021,-0.00000932,-0.00002323
10022,-0.00000967,-0.00002425
10023,-0.00001005,-0.00002530
10024,-0.00001042,-0.00002634
10025,-0.00001079,-0.00002738
10026,-0.00001115,-0.00002842
10027,-0.00001153,-0.00002947
10028,-0.00001189,-0.00003051
10029,-0.00001224,-0.00003153
10030,-0.00001260,-0.00003257
10031,-0.00001296,-0.00003360
10032,-0.00001333,-0.00003465
10033,-0.00001369,-0.00003568
10034,-0.00001403,-0.00003671
10035,-0.00001439,-0.00003775
10036,-0.00001475,-0.00003878
10037,-0.00001511,-0.00003982
10038,-0.00001546,-0.00004085
10039,-0.00001581,-0.00004188
10040,-0.00001616,-0.00004292
10041,-0.00001651,-0.00004395
10042,-0.00001687,-0.00004499
10043,-0.00001721,-0.00004602
10044,-0.00001756,-0.00004705
10045,-0.00001791,-0.00004809
10046,-0.00001826,-0.00004912
10047,-0.00001860,-0.00005016
10048,-0.00001894,-0.00005118
10049,-0.00001929,-0.00005221
10050,-0.00001962,-0.00005324
10051,-0.00001997,-0.00005428
10052,-0.00002031,-0.00005530
10053,-0.00002066,-0.00005634
10054,-0.00002099,-0.00005737
10055,-0.00002134,-0.00005841
10056,-0.00002168,-0.00005944
10057,-0.00002200,-0.00006046
10058,-0.00002235,-0.00006150
10059,-0.00002269,-0.00006253
10060,-0.00002302,-0.00006356
10061,-0.00002336,-0.00006459
10062,-0.00002369,-0.00006562
10063,-0.00002402,-0.00006665
10064,-0.00002435,-0.00006768
10065,-0.00002469,-0.00006871
10066,-0.00002501,-0.00006973
10067,-0.00002534,-0.00007076
10068,-0.00002567,-0.00007179
10069,-0.00002600,-0.00007282
10070,-0.00002633,-0.00007385
10071,-0.00002666,-0.00007488
10072,-0.00002698,-0.00007591
10073,-0.00002731,-0.00007693
10074,-0.00002764,-0.00007797
10075,-0.00002796,-0.00007899
10076,-0.00002828,-0.00008002
10077,-0.00002861,-0.00008105
10078,-0.00002893,-0.00008207
10079,-0.00002924,-0.00008309
10080,-0.00002957,-0.00008413
10081,-0.00002988,-0.00008515
10082,-0.00003020,-0.00008617
10083,-0.00003052,-0.00008720
10084,-0.00003084,-0.00008823
10085,-0.00003115,-0.00008925
10086,-0.00003146,-0.00009027
10087,-0.00003177,-0.00009129
10088,-0.00003209,-0.00009232
10089,-0.00003240,-0.00009334
10090,-0.00003271,-0.00009436
10091,-0.00003302,-0.00009539
10092,-0.00003334,-0.00009641
10093,-0.00003365,-0.00009744
10094,-0.00003396,-0.00009847
10095,-0.00003427,-0.00009948
10096,-0.00003457,-0.00010050
10097,-0.00003487,-0.00010152
10098,-0.00003518,-0.00010255
10099,-0.00003549,-0.00010357
10100,-0.00003579,-0.00010459
9900,0.00004125,0.00010266
9901,0.00004078,0.00010163
9902,0.00004031,0.00010058
9903,0.00003984,0.00009954
9904,0.00003936,0.00009850
9905,0.00003890,0.00009746
9906,0.00003843,0.00009641
9907,0.00003796,0.00009536
9908,0.00003751,0.00009434
9909,0.00003704,0.00009329
9910,0.00003658,0.00009225
9911,0.00003611,0.00009120
9912,0.00003565,0.00009016
9913,0.00003519,0.00008912
9914,0.00003473,0.00008808
9915,0.00003427,0.00008703
9916,0.00003381,0.00008599
9917,0.00003336,0.00008495
9918,0.00003290,0.00008391
9919,0.00003244,0.00008286
9920,0.00003199,0.00008182
9921,0.00003154,0.00008079
9922,0.00003109,0.00007974
9923,0.00003064,0.00007870
9924,0.00003018,0.00007765
9925,0.00002974,0.00007661
9926,0.00002929,0.00007557
9927,0.00002884,0.00007453
9928,0.00002839,0.00007349
9929,0.00002794,0.00007244
9930,0.00002750,0.00007141
9931,0.00002706,0.00007036
9932,0.00002662,0.00006933
9933,0.00002617,0.00006828
9934,0.00002573,0.00006723
9935,0.00002528,0.00006619
9936,0.00002484,0.00006514
9937,0.00002441,0.00006411
9938,0.00002397,0.00006307
9939,0.00002353,0.00006202
9940,0.00002310,0.00006098
9941,0.00002267,0.00005995
9942,0.00002224,0.00005891
9943,0.00002180,0.00005786
9944,0.00002136,0.00005681
9945,0.00002093,0.00005577
9946,0.00002051,0.00005473
9947,0.00002008,0.00005370
9948,0.00001964,0.00005264
9949,0.00001921,0.00005160
9950,0.00001878,0.00005056
9951,0.00001837,0.00004952
9952,0.00001794,0.00004848
9953,0.00001751,0.00004744
9954,0.00001708,0.00004639
9955,0.00001666,0.00004535
9956,0.00001625,0.00004432
9957,0.00001583,0.00004328
9958,0.00001540,0.00004222
9959,0.00001498,0.00004118
9960,0.00001456,0.00004014
